feature,importance
Lag_1,20657.64062412654
Lag_24,3283.8055831813144
Peak,994.7095556506721
hour_cos,662.0793442079823
hour_sin,539.8390072294659
Lag_2,436.6078861985201
temp_squared,291.9329165588317
Lag_3,286.8554720636679
temperature,285.30298813732173
Rolling_Max_24,188.5502157966627
Lag_72,170.86237275447564
Hour,166.90040626670117
Lag_48,166.87682979636702
DayOfWeek,142.22193743464558
Rolling_Min_24,108.21291561387915
temp_x_month,78.97175584848296
temp_x_hour,76.24030370320219
Rolling_STD_24,74.01534200131789
Lag_12,67.78070901695237
Lag_6,48.133469513773214
month_cos,47.287812629019584
Rolling_Mean_24,45.86687374892293
wind_speed,30.301755270901296
dow_cos,23.687873919761092
humidity,22.380898903392904
dow_sin,21.917816443844202
precipitation,18.81359102240764
Weekend,13.668083147568474
Year,10.755358480051706
Day,10.06577500353469
Month,7.7802698988150665
Holiday,4.081670175280348
Festival,3.8481369801232352
month_sin,3.4332370286953546
lockdown,0.28693827294289315
